cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
0,Simulation 0,1000,990,10,0,0
0,Simulation 2,1000,990,10,0,0
0,Simulation 1,1000,990,10,0,0
0,Simulation 3,1000,990,10,0,0
1,Simulation 0,1000,990,10,0,0
1,Simulation 2,1000,990,10,0,0
1,Simulation 3,1000,990,9,1,0
1,Simulation 1,1000,990,10,0,0
2,Simulation 0,1000,989,11,0,0
2,Simulation 2,1000,990,9,1,0
2,Simulation 3,1000,989,10,1,0
2,Simulation 1,1000,990,10,0,0
3,Simulation 2,1000,986,13,1,0
3,Simulation 1,1000,989,11,0,0
3,Simulation 0,1000,989,11,0,0
3,Simulation 3,1000,989,10,1,0
4,Simulation 0,1000,989,11,0,0
4,Simulation 3,1000,989,10,1,0
4,Simulation 1,1000,989,11,0,0
4,Simulation 2,1000,985,14,1,0
5,Simulation 0,1000,989,11,0,0
5,Simulation 2,1000,984,15,1,0
5,Simulation 1,1000,987,13,0,0
5,Simulation 3,1000,989,10,1,0
6,Simulation 0,1000,989,11,0,0
6,Simulation 1,1000,987,13,0,0
6,Simulation 3,1000,989,10,1,0
6,Simulation 2,1000,984,15,1,0
7,Simulation 0,1000,988,12,0,0
7,Simulation 3,1000,989,10,1,0
7,Simulation 1,1000,987,13,0,0
7,Simulation 2,1000,983,16,1,0
8,Simulation 2,1000,983,16,1,0
8,Simulation 3,1000,989,10,1,0
8,Simulation 0,1000,987,13,0,0
8,Simulation 1,1000,986,14,0,0
9,Simulation 0,1000,987,13,0,0
9,Simulation 1,1000,985,14,1,0
9,Simulation 3,1000,988,9,3,0
9,Simulation 2,1000,982,17,1,0
10,Simulation 0,1000,987,12,1,0
10,Simulation 3,1000,988,9,3,0
10,Simulation 2,1000,981,18,1,0
10,Simulation 1,1000,984,15,1,0
11,Simulation 2,1000,981,18,1,0
11,Simulation 1,1000,984,15,1,0
11,Simulation 0,1000,987,12,1,0
11,Simulation 3,1000,988,9,3,0
12,Simulation 3,1000,988,9,3,0
12,Simulation 0,1000,987,12,1,0
12,Simulation 2,1000,980,19,1,0
12,Simulation 1,1000,984,15,1,0
13,Simulation 1,1000,983,15,2,0
13,Simulation 2,1000,976,23,1,0
13,Simulation 3,1000,988,9,3,0
13,Simulation 0,1000,987,11,2,0
14,Simulation 2,1000,974,25,1,0
14,Simulation 3,1000,987,10,3,0
14,Simulation 1,1000,983,15,2,0
14,Simulation 0,1000,987,11,2,0
15,Simulation 3,1000,987,10,3,0
15,Simulation 0,1000,987,10,3,0
15,Simulation 1,1000,981,16,3,0
15,Simulation 2,1000,972,27,1,0
16,Simulation 2,1000,971,27,2,0
16,Simulation 0,1000,986,11,3,0
16,Simulation 3,1000,987,10,3,0
16,Simulation 1,1000,979,17,4,0
17,Simulation 2,1000,971,26,3,0
17,Simulation 0,1000,986,11,3,0
17,Simulation 3,1000,987,10,3,0
17,Simulation 1,1000,978,18,4,0
18,Simulation 0,1000,986,11,3,0
18,Simulation 3,1000,987,10,3,0
18,Simulation 2,1000,971,26,3,0
18,Simulation 1,1000,978,18,4,0
19,Simulation 0,1000,986,11,3,0
19,Simulation 2,1000,971,25,4,0
19,Simulation 3,1000,987,10,3,0
19,Simulation 1,1000,978,18,4,0
20,Simulation 1,1000,978,18,4,0
20,Simulation 3,1000,987,10,3,0
20,Simulation 0,1000,986,10,4,0
20,Simulation 2,1000,971,25,4,0
21,Simulation 3,1000,987,9,4,0
21,Simulation 2,1000,969,27,4,0
21,Simulation 0,1000,986,10,4,0
21,Simulation 1,1000,978,18,4,0
22,Simulation 2,1000,967,29,4,0
22,Simulation 0,1000,986,10,4,0
22,Simulation 3,1000,986,10,4,0
22,Simulation 1,1000,977,19,4,0
23,Simulation 2,1000,965,30,5,0
23,Simulation 0,1000,986,10,4,0
23,Simulation 3,1000,985,10,4,1
23,Simulation 1,1000,977,19,4,0
